TITLE = "Artificial-viscosity beta sweep"
VARIABLES = "x", "rho", "u", "p"
ZONE T="Exact", I=501, F=POINT
4.200000000000000e-02 4.450000000000000e-01 6.980000000000000e-01 3.528000000000000e+00
4.400000000000000e-02 4.450000000000000e-01 6.980000000000000e-01 3.528000000000000e+00
4.600000000000000e-02 4.450000000000000e-01 6.980000000000000e-01 3.528000000000000e+00
4.800000000000000e-02 4.450000000000000e-01 6.980000000000000e-01 3.528000000000000e+00
5.000000000000000e-02 4.450000000000000e-01 6.980000000000000e-01 3.528000000000000e+00
5.200000000000000e-02 4.450000000000000e-01 6.980000000000000e-01 3.528000000000000e+00
5.400000000000000e-02 4.450000000000000e-01 6.980000000000000e-01 3.528000000000000e+00
5.600000000000000e-02 4.450000000000000e-01 6.980000000000000e-01 3.528000000000000e+00
5.800000000000000e-02 4.450000000000000e-01 6.980000000000000e-01 3.528000000000000e+00
6.000000000000000e-02 4.450000000000000e-01 6.980000000000000e-01 3.528000000000000e+00
6.200000000000000e-02 4.450000000000000e-01 6.980000000000000e-01 3.528000000000000e+00
6.400000000000000e-02 4.450000000000000e-01 6.980000000000000e-01 3.528000000000000e+00
6.600000000000000e-02 4.450000000000000e-01 6.980000000000000e-01 3.528000000000000e+00
6.800000000000000e-02 4.450000000000000e-01 6.980000000000000e-01 3.528000000000000e+00
7.000000000000001e-02 4.450000000000000e-01 6.980000000000000e-01 3.528000000000000e+00
7.200000000000001e-02 4.450000000000000e-01 6.980000000000000e-01 3.528000000000000e+00
7.400000000000000e-02 4.450000000000000e-01 6.980000000000000e-01 3.528000000000000e+00
7.600000000000000e-02 4.450000000000000e-01 6.980000000000000e-01 3.528000000000000e+00
7.800000000000000e-02 4.450000000000000e-01 6.980000000000000e-01 3.528000000000000e+00
8.000000000000000e-02 4.440474464211658e-01 7.051375617166933e-01 3.517431825706978e+00
8.200000000000000e-02 4.426602032965077e-01 7.155542283833601e-01 3.502057172833334e+00
8.400000000000001e-02 4.412764294354277e-01 7.259708950500270e-01 3.486740158044638e+00
8.600000000000001e-02 4.398961183268165e-01 7.363875617166934e-01 3.471480601161928e+00
8.799999999999999e-02 4.385192634677173e-01 7.468042283833598e-01 3.456278322457131e+00
9.000000000000000e-02 4.371458583633194e-01 7.572208950500267e-01 3.441133142652197e+00
9.200000000000000e-02 4.357758965269531e-01 7.676375617166931e-01 3.426044882918260e+00
9.400000000000000e-02 4.344093714800871e-01 7.780542283833599e-01 3.411013364874814e+00
9.600000000000000e-02 4.330462767523196e-01 7.884708950500268e-01 3.396038410588835e+00
9.800000000000000e-02 4.316866058813758e-01 7.988875617166932e-01 3.381119842573958e+00
1.000000000000000e-01 4.303303524131019e-01 8.093042283833600e-01 3.366257483789637e+00
1.020000000000000e-01 4.289775099014599e-01 8.197208950500264e-01 3.351451157640295e+00
1.040000000000000e-01 4.276280719085239e-01 8.301375617166933e-01 3.336700687974499e+00
1.060000000000000e-01 4.262820320044721e-01 8.405542283833600e-01 3.322005899084101e+00
1.080000000000000e-01 4.249393837675849e-01 8.509708950500265e-01 3.307366615703425e+00
1.100000000000000e-01 4.236001207842379e-01 8.613875617166933e-01 3.292782663008410e+00
1.120000000000000e-01 4.222642366488966e-01 8.718042283833601e-01 3.278253866615784e+00
1.140000000000000e-01 4.209317249641127e-01 8.822208950500265e-01 3.263780052582232e+00
1.160000000000000e-01 4.196025793405176e-01 8.926375617166934e-01 3.249361047403557e+00
1.180000000000000e-01 4.182767933968187e-01 9.030542283833598e-01 3.234996678013858e+00
1.200000000000000e-01 4.169543607597926e-01 9.134708950500267e-01 3.220686771784683e+00
1.220000000000000e-01 4.156352750642815e-01 9.238875617166935e-01 3.206431156524215e+00
1.240000000000000e-01 4.143195299531873e-01 9.343042283833599e-01 3.192229660476436e+00
1.260000000000000e-01 4.130071190774667e-01 9.447208950500268e-01 3.178082112320300e+00
1.280000000000000e-01 4.116980360961260e-01 9.551375617166935e-01 3.163988341168903e+00
1.300000000000000e-01 4.103922746762159e-01 9.655542283833600e-01 3.149948176568663e+00
1.320000000000000e-01 4.090898284928265e-01 9.759708950500268e-01 3.135961448498490e+00
1.340000000000000e-01 4.077906912290835e-01 9.863875617166933e-01 3.122027987368978e+00
1.360000000000000e-01 4.064948565761400e-01 9.968042283833600e-01 3.108147624021553e+00
1.380000000000000e-01 4.052023182331745e-01 1.007220895050027e+00 3.094320189727680e+00
1.400000000000000e-01 4.039130699073843e-01 1.017637561716693e+00 3.080545516188027e+00
1.420000000000000e-01 4.026271053139801e-01 1.028054228383360e+00 3.066823435531649e+00
1.440000000000000e-01 4.013444181761819e-01 1.038470895050027e+00 3.053153780315171e+00
1.460000000000000e-01 4.000650022252134e-01 1.048887561716694e+00 3.039536383521971e+00
1.480000000000000e-01 3.987888512002964e-01 1.059304228383360e+00 3.025971078561360e+00
1.500000000000000e-01 3.975159588486472e-01 1.069720895050027e+00 3.012457699267777e+00
1.520000000000000e-01 3.962463189254696e-01 1.080137561716694e+00 2.998996079899958e+00
1.540000000000000e-01 3.949799251939511e-01 1.090554228383360e+00 2.985586055140141e+00
1.560000000000000e-01 3.937167714252574e-01 1.100970895050027e+00 2.972227460093240e+00
1.580000000000000e-01 3.924568513985270e-01 1.111387561716694e+00 2.958920130286040e+00
1.600000000000000e-01 3.912001589008667e-01 1.121804228383360e+00 2.945663901666386e+00
1.620000000000000e-01 3.899466877273457e-01 1.132220895050027e+00 2.932458610602374e+00
1.640000000000000e-01 3.886964316809918e-01 1.142637561716694e+00 2.919304093881549e+00
1.660000000000000e-01 3.874493845727841e-01 1.153054228383360e+00 2.906200188710080e+00
1.680000000000000e-01 3.862055402216512e-01 1.163470895050027e+00 2.893146732711984e+00
1.700000000000000e-01 3.849648924544624e-01 1.173887561716694e+00 2.880143563928290e+00
1.720000000000000e-01 3.837274351060250e-01 1.184304228383360e+00 2.867190520816252e+00
1.740000000000000e-01 3.824931620190786e-01 1.194720895050027e+00 2.854287442248545e+00
1.760000000000000e-01 3.812620670442897e-01 1.205137561716694e+00 2.841434167512460e+00
